"青沥备开内靛","state.han.","city.han.","city2.han.","困档","版档","惯钎矫埃","浅氢","浅加","扁柯","嚼档","碍荐樊"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-09 22:00:00","辑","2.2","-1.1","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-09 23:00:00","辑","2.9","-1.4","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 00:00:00","辑","3.5","-1.6","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 01:00:00","合辑","2.5","-1.9","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 02:00:00","辑","3.1","-1.9","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 03:00:00","辑","2.7","-2.3","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 04:00:00","辑","3.6","-2.4","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 05:00:00","辑","2.5","-2.8","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 06:00:00","辑","1.6","-3","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 07:00:00","辑","1.8","-2.9","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 08:00:00","辑","2.4","-2.3","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 09:00:00","辑","1.9","-1.4","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 10:00:00","辑","0.7","0.1","25","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 11:00:00","巢辑","1","1.5","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 12:00:00","合辑","1.1","3.4","25","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 13:00:00","辑","0.5","3.6","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 14:00:00","辑","0.8","4.4","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 15:00:00","巢悼","1.5","4.5","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 16:00:00","辑","0.5","4.5","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 17:00:00","合辑","0.6","4.2","27","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 18:00:00","合辑","1.4","3.8","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 19:00:00","合辑","1.3","3.3","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 20:00:00","辑","1.8","3","33","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 21:00:00","辑","2.1","3.2","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 22:00:00","辑","2.5","2.8","33","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-10 23:00:00","合辑","2.5","2.2","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 00:00:00","合辑","2.6","1.5","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 01:00:00","合辑","2.2","0.9","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 02:00:00","合辑","2.5","0.3","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 03:00:00","辑","2.2","-0.3","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 04:00:00","合辑","3.7","-0.6","35","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 05:00:00","合辑","3.1","-1.4","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 06:00:00","辑","3.5","-2","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 07:00:00","辑","3.9","-2.6","39","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 08:00:00","辑","5.9","-2.3","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 09:00:00","辑","5.5","-1.1","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 10:00:00","辑","5.5","-0.3","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 11:00:00","合辑","4.2","1.3","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 12:00:00","辑","5.5","2.3","26","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 13:00:00","合辑","3.4","3.6","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 14:00:00","辑","4.1","4","22","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 15:00:00","合辑","3.9","4.2","22","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 16:00:00","辑","3.9","3.9","22","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 17:00:00","辑","4.1","3.2","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 18:00:00","辑","2.5","2.4","27","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 19:00:00","合辑","1.5","1.9","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 20:00:00","合辑","1.5","1","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 21:00:00","合辑","1.3","0.6","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 22:00:00","合辑","1.7","0","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-11 23:00:00","合辑","1.5","-0.5","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 00:00:00","辑","1.2","-0.7","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 01:00:00","辑","1.9","-1","33","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 02:00:00","辑","2.1","-1.2","35","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 03:00:00","辑","1.7","-1.5","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 04:00:00","辑","1.5","-2.3","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 05:00:00","辑","1.1","-2.1","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 06:00:00","辑","1.6","-1.9","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 07:00:00","合","0.3","-2.6","47","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 08:00:00","合辑","1","-1.5","43","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 09:00:00","巢悼","1.3","1","38","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 10:00:00","辑","2.3","1.7","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 11:00:00","合辑","1.3","3.8","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 12:00:00","辑","2.7","4.8","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 13:00:00","辑","4.4","4.8","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 14:00:00","合辑","3.1","5.3","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 15:00:00","辑","3.3","5.9","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 16:00:00","合辑","2","5.9","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 17:00:00","合辑","1.6","5","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 18:00:00","合辑","1","4.4","35","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 19:00:00","合辑","1.4","4.1","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 20:00:00","合辑","1.3","3.6","38","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 21:00:00","合辑","1.6","3.2","39","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 22:00:00","辑","1.9","3.1","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-12 23:00:00","辑","2.3","3.1","39","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 00:00:00","辑","2","3.1","39","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 01:00:00","辑","1.9","2.7","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 02:00:00","合辑","2","2.4","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 03:00:00","合辑","2.9","1.6","39","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 04:00:00","合辑","2.3","1.1","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 05:00:00","辑","1.6","0.4","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 06:00:00","辑","2","0.2","42","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 07:00:00","辑","2.3","0","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 08:00:00","辑","2.6","0.8","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 09:00:00","辑","2","2.1","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 10:00:00","合辑","2.6","3.6","26","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 11:00:00","合辑","2.8","4.8","26","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 12:00:00","合辑","4.5","4.8","25","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 13:00:00","合辑","4.1","5.4","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 14:00:00","合辑","4.7","5.7","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 15:00:00","合辑","3.6","6.2","22","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 16:00:00","合辑","3.7","5.8","22","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 17:00:00","合辑","3.6","4.6","24","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 18:00:00","辑","3.3","3.5","26","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 19:00:00","合辑","3.1","2.6","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 20:00:00","合辑","2.6","2.1","28","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 21:00:00","辑","2.4","1.8","27","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 22:00:00","合辑","1.4","1.2","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-13 23:00:00","合辑","1.6","0.9","29","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 00:00:00","辑","2.6","0.6","32","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 01:00:00","辑","1.7","0.4","33","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 02:00:00","辑","1.6","0.4","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 03:00:00","合辑","1.5","0.3","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 04:00:00","合辑","0.7","0","35","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 05:00:00","合","0.8","-0.2","35","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 06:00:00","合悼","0","-0.2","39","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 07:00:00","合悼","1","-0.4","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 08:00:00","合","0.8","0.2","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 09:00:00","合","0.5","0.9","36","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 10:00:00","辑","1","2.1","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 11:00:00","巢悼","1.9","3","45","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 12:00:00","巢悼","4.2","4.5","50","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 13:00:00","悼","4.5","5.8","54","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 14:00:00","巢悼","3.5","6.7","49","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 15:00:00","巢悼","4.1","5.8","53","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 16:00:00","巢悼","3.7","5.8","54","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 17:00:00","巢悼","3.7","4.9","58","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 18:00:00","悼","4.6","3.9","64","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 19:00:00","悼","3.2","3.5","67","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 20:00:00","巢悼","3.3","3.3","67","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 21:00:00","巢悼","2.8","2.7","69","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 22:00:00","巢悼","2.4","2.7","70","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-14 23:00:00","悼","1.5","2.5","72","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 00:00:00","悼","0.8","2.1","73","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 01:00:00","合悼","0.8","1.8","74","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 02:00:00","合悼","1.4","1.3","77","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 03:00:00","合","0.5","1.7","76","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 04:00:00","悼","1.5","1.7","75","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 05:00:00","合","0.4","1.8","75","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 06:00:00","合","0.2","2.2","73","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 07:00:00","悼","2.1","2","75","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 08:00:00","合","0.4","2.4","72","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 09:00:00","辑","0.3","2.9","71","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 10:00:00","辑","2.7","3.9","69","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 11:00:00","辑","2.8","5.6","60","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 12:00:00","辑","2.2","7.4","54","0"
