out_시각,out_시리얼,out_pm25_보정전,out_pm10_보정전,out_온도,out_습도,out_소음,out_pm10,out_pm25,out_자외선,out_조도,out_흑구온도,out_coci_pm10,out_coci_pm25,out_coci_temp,out_coci_humi,out_coci,out_coai,out_nh3,out_h2s,out_o3,out_co,out_no2,out_so2,out_진동x,out_진동y,out_진동x,out_진동x최대,out_진동y최대,out_진동z최대
2020-12-10 10:36,OC3CL200223,-9999,-9999,20.9,19.0,55.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:40,OC3CL200223,16.0,23.0,20.7,19.0,52.0,23.0,16.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.0,91.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:42,OC3CL200223,15.0,22.0,20.6,19.0,52.0,22.0,15.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.0,92.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:44,OC3CL200223,14.0,21.0,20.5,19.0,52.0,21.0,14.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.0,92.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:46,OC3CL200223,15.0,22.0,20.39,19.0,52.0,22.0,15.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.0,92.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:50,OC3CL200223,14.0,21.0,20.3,19.0,51.0,21.0,14.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.0,92.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:52,OC3CL200223,14.0,21.0,20.2,20.0,51.0,21.0,14.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.0,92.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2020-12-10 10:54,OC3CL200223,14.0,20.0,20.2,20.0,51.0,20.0,14.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.0,92.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
