in_tm,in_serial,in_pm01_raw,in_pm25_raw,in_pm10_raw,in_temp,in_humi,in_co2,in_voc,in_noise,in_pm10,in_pm25,in_pm01,in_cici_pm10,in_cici_pm25,in_cici_co2,in_cici_voc,in_cici_temp,in_cici_humi,in_cici_noise,in_cici,in_ciai
2021-02-09 10:00,ICW0W2100067,23.0,23.0,23.0,18.0,13.0,688.0,-9999,42.0,23.0,23.0,23.0,92.0,86.0,86.0,80.0,90.0,32.0,85.0,86.0,86.0
2021-02-09 10:35,ICW0W2100067,24.0,25.0,26.0,13.8,13.0,633.0,-9999,45.0,26.0,25.0,24.0,91.0,85.0,87.0,80.0,49.0,32.0,84.0,76.0,86.0
2021-02-09 10:36,ICW0W2100067,26.0,27.0,28.0,12.1,14.0,593.0,-9999,46.0,28.0,27.0,26.0,91.0,84.0,87.0,80.0,43.0,34.0,83.0,76.0,86.0
2021-02-09 10:37,ICW0W2100067,24.0,25.0,27.0,10.9,15.0,584.0,-9999,45.0,27.0,25.0,24.0,91.0,85.0,88.0,80.0,38.0,37.0,84.0,76.0,86.0
2021-02-09 10:38,ICW0W2100067,25.0,26.0,28.0,9.9,16.0,580.0,-9999,46.0,28.0,26.0,25.0,91.0,84.0,88.0,80.0,35.0,39.0,83.0,76.0,86.0
2021-02-09 10:39,ICW0W2100067,25.0,26.0,28.0,9.0,16.0,572.0,-9999,46.0,28.0,26.0,25.0,91.0,84.0,88.0,80.0,32.0,39.0,83.0,76.0,86.0
2021-02-09 10:40,ICW0W2100067,25.0,25.0,27.0,8.5,17.0,575.0,-9999,46.0,27.0,25.0,25.0,91.0,85.0,88.0,80.0,30.0,42.0,83.0,76.0,86.0
2021-02-09 10:41,ICW0W2100067,26.0,26.0,27.0,8.1,17.0,574.0,-9999,46.0,27.0,26.0,26.0,91.0,84.0,88.0,80.0,29.0,42.0,83.0,76.0,86.0
2021-02-09 10:42,ICW0W2100067,26.0,26.0,28.0,7.6,17.0,574.0,-9999,46.0,28.0,26.0,26.0,91.0,84.0,88.0,80.0,27.0,42.0,83.0,76.0,86.0
2021-02-09 10:43,ICW0W2100067,26.0,27.0,28.0,7.2,18.0,570.0,-9999,46.0,28.0,27.0,26.0,91.0,84.0,88.0,80.0,25.0,44.0,83.0,76.0,86.0
2021-02-09 10:44,ICW0W2100067,26.0,26.0,27.0,6.9,18.0,564.0,-9999,46.0,27.0,26.0,26.0,91.0,84.0,88.0,80.0,24.0,44.0,83.0,76.0,86.0
2021-02-09 10:45,ICW0W2100067,25.0,26.0,27.0,6.8,18.0,566.0,-9999,47.0,27.0,26.0,25.0,91.0,84.0,88.0,80.0,24.0,44.0,83.0,76.0,86.0
2021-02-09 10:46,ICW0W2100067,25.0,26.0,29.0,6.6,19.0,556.0,-9999,45.0,29.0,26.0,25.0,90.0,84.0,88.0,80.0,23.0,47.0,84.0,76.0,86.0
2021-02-09 10:47,ICW0W2100067,25.0,26.0,28.0,6.5,19.0,561.0,-9999,45.0,28.0,26.0,25.0,91.0,84.0,88.0,80.0,23.0,47.0,84.0,76.0,86.0
2021-02-09 10:48,ICW0W2100067,29.0,29.0,30.0,6.4,20.0,564.0,-9999,45.0,30.0,29.0,29.0,90.0,83.0,88.0,80.0,23.0,50.0,84.0,78.0,85.0
